"campaignid","sample","family","genus","species","length","number","range"
"2021-05_Abrolhos_stereo-BRUVs","npz6.17","Sparidae","Chrysophrys","auratus",366.13704,1,1516.51434
"2021-05_Abrolhos_stereo-BRUVs","npz6.17","Cirrhitidae","Paracirrhites","forsteri",55.96015,1,1898.09806
"2021-05_Abrolhos_stereo-BRUVs","npz6.17","Carangidae","Seriola","hippos",648.13341,1,1605.17073
"2021-05_Abrolhos_stereo-BRUVs","npz6.17","Apogonidae","Ostorhinchus","spp",67.54532,1,1651.83203
"2021-05_Abrolhos_stereo-BRUVs","npz6.17","Labridae","Bodianus","solatus",249.53032,1,1504.06531
"2021-05_Abrolhos_stereo-BRUVs","npz6.17","Labridae","Bodianus","vulpinus",255.92833,1,2447.48138
"2021-05_Abrolhos_stereo-BRUVs","npz6.17","Labridae","Coris","auricularis",264.59397,1,4102.58675
"2021-05_Abrolhos_stereo-BRUVs","npz6.17","Labridae","Coris","auricularis",198.63308,1,3631.43901
"2021-05_Abrolhos_stereo-BRUVs","npz6.17","Labridae","Stethojulis","spp",128.42168,1,2102.62684
"2021-05_Abrolhos_stereo-BRUVs","npz6.17","Labridae","Stethojulis","spp",103.24223,1,2096.41171
"2021-05_Abrolhos_stereo-BRUVs","npz6.17","Chaetodontidae","Chaetodon","assarius",78.11565,1,2456.5339
"2021-05_Abrolhos_stereo-BRUVs","npz6.17","Chaetodontidae","Chaetodon","assarius",100.33647,1,2377.77066
"2021-05_Abrolhos_stereo-BRUVs","npz6.17","Chaetodontidae","Chaetodon","assarius",95.43919,1,2624.1252
"2021-05_Abrolhos_stereo-BRUVs","npz6.18","Tetraodontidae","Unknown","spp",43.29993,1,1619.82053
"2021-05_Abrolhos_stereo-BRUVs","npz6.18","Haemulidae","Diagramma","pictum labiosum",666.26856,1,1968.37392
"2021-05_Abrolhos_stereo-BRUVs","npz6.18","Haemulidae","Diagramma","pictum labiosum",629.01199,1,2239.08921
"2021-05_Abrolhos_stereo-BRUVs","npz6.18","Haemulidae","Diagramma","pictum labiosum",551.74505,1,1827.17865
"2021-05_Abrolhos_stereo-BRUVs","npz6.18","Haemulidae","Diagramma","pictum labiosum",632.83368,1,2004.40577
"2021-05_Abrolhos_stereo-BRUVs","npz6.18","Haemulidae","Diagramma","pictum labiosum",676.62326,1,2390.70945
"2021-05_Abrolhos_stereo-BRUVs","npz6.18","Haemulidae","Diagramma","pictum labiosum",689.92638,1,2311.57097
"2021-05_Abrolhos_stereo-BRUVs","npz6.18","Haemulidae","Diagramma","pictum labiosum",609.31968,1,1774.07899
"2021-05_Abrolhos_stereo-BRUVs","npz6.18","Haemulidae","Diagramma","pictum labiosum",639.36275,1,2916.51496
"2021-05_Abrolhos_stereo-BRUVs","npz6.18","Haemulidae","Diagramma","pictum labiosum",666.49832,1,2181.61159
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Choerodon","rubescens",358.3793,1,2027.70873
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Nemipteridae","Pentapodus","nagasakiensis",200.77557,1,1044.26699
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",100.79895,1,1619.78744
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",141.07715,1,1713.08277
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",126.65718,1,2139.7522
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",115.29606,1,2298.15278
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",156.94863,1,1203.63316
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",84.92939,1,2393.73555
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",105.37045,1,1154.07232
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",112.2336,1,1858.66314
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",97.3805,1,840.28617
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",66.86349,1,1132.55652
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",105.89345,1,899.37819
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",162.04598,1,1708.44121
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",148.35093,1,1720.15896
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",107.75361,1,1977.15348
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",98.92898,1,1500.68282
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",86.96605,1,1457.71371
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",74.77827,1,1849.24666
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",265.28847,1,1196.88505
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",82.23414,1,1925.95696
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",207.58407,1,1567.45068
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",73.15353,1,1522.34792
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",67.22337,1,1788.52756
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",70.27301,1,1421.67513
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",68.97595,1,698.29204
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",157.0417,1,1910.39786
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",74.25933,1,904.16139
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",124.27687,1,2210.4602
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",164.09283,1,1945.54149
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",83.00536,1,1097.75542
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",160.15131,1,1667.42006
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",144.05389,1,1381.75342
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",139.40608,1,1594.70136
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",126.33801,1,1864.0897
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",128.93197,1,1955.15837
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",97.21557,1,1731.88158
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",82.01157,1,946.74048
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",76.51111,1,1449.43364
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",64.38067,1,753.64723
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",65.55916,1,1341.33326
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",105.31938,1,1297.53205
"2021-05_Abrolhos_stereo-BRUVs","npz6.2","Labridae","Coris","auricularis",63.73493,1,1088.09741
