"campaignid","sample","filename","period","periodtime","family","genus","species","comment","maxn","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length"
"2021-05_Abrolhos_stereo-BRUVs","npz6.20","L039 (03).MP4","1","13.73233","Haemulidae","Diagramma","pictum",NA,3,"-28.0736","113.4593","20210512","09:13","NPZ6","No-take","npz6.21","50.4","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.20","L039 (04).MP4","1","30.15596","Labridae","Choerodon","rubescens",NA,4,"-28.0736","113.4593","20210512","09:13","NPZ6","No-take","npz6.21","50.4","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.20","L039 (04).MP4","1","36.61519","Labridae","Coris","auricularis",NA,3,"-28.0736","113.4593","20210512","09:13","NPZ6","No-take","npz6.21","50.4","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.20","L039 (03).MP4","1","7.58814","Labridae","Suezichthys","cyanolaemus",NA,2,"-28.0736","113.4593","20210512","09:13","NPZ6","No-take","npz6.21","50.4","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.20","L039 (04).MP4","1","19.82953","Lethrinidae","Lethrinus","miniatus",NA,4,"-28.0736","113.4593","20210512","09:13","NPZ6","No-take","npz6.21","50.4","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.20","L039 (04).MP4","1","30.85610","Lethrinidae","Lethrinus","nebulosus",NA,3,"-28.0736","113.4593","20210512","09:13","NPZ6","No-take","npz6.21","50.4","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.20","L039 (04).MP4","1","28.47178","Nemipteridae","Pentapodus","nagasakiensis",NA,7,"-28.0736","113.4593","20210512","09:13","NPZ6","No-take","npz6.21","50.4","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.21","L035 (11).MP4","1","29.76752","Carcharhinidae","Carcharhinus","plumbeus",NA,1,"-28.0714","113.3992","20210512","10:54","NPZ6","No-take","npz6.22","59.3","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.21","L035 (10).MP4","1","26.20813","Labridae","Bodianus","solatus",NA,1,"-28.0714","113.3992","20210512","10:54","NPZ6","No-take","npz6.22","59.3","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.21","L035 (11).MP4","1","43.87494","Labridae","Choerodon","rubescens",NA,3,"-28.0714","113.3992","20210512","10:54","NPZ6","No-take","npz6.22","59.3","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.21","L035 (10).MP4","1","8.53853","Labridae","Coris","auricularis",NA,6,"-28.0714","113.3992","20210512","10:54","NPZ6","No-take","npz6.22","59.3","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.21","L035 (09).MP4","1","2.37320","Labridae","Suezichthys","cyanolaemus",NA,5,"-28.0714","113.3992","20210512","10:54","NPZ6","No-take","npz6.22","59.3","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.21","L035 (11).MP4","1","35.21935","Lethrinidae","Lethrinus","nebulosus",NA,5,"-28.0714","113.3992","20210512","10:54","NPZ6","No-take","npz6.22","59.3","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.21","L035 (09).MP4","1","1.31409","Mullidae","Parupeneus","spilurus",NA,2,"-28.0714","113.3992","20210512","10:54","NPZ6","No-take","npz6.22","59.3","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.21","L035 (09).MP4","1","1.31409","Nemipteridae","Pentapodus","nagasakiensis",NA,1,"-28.0714","113.3992","20210512","10:54","NPZ6","No-take","npz6.22","59.3","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.21","L035 (12).MP4","1","57.41514","Pomacanthidae","Chaetodontoplus","personifer",NA,2,"-28.0714","113.3992","20210512","10:54","NPZ6","No-take","npz6.22","59.3","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.21","L035 (10).MP4","1","21.61771","Pomacentridae","Chromis","spp",NA,17,"-28.0714","113.3992","20210512","10:54","NPZ6","No-take","npz6.22","59.3","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.21","L035 (11).MP4","1","38.37806","Sparidae","Chrysophrys","auratus",NA,6,"-28.0714","113.3992","20210512","10:54","NPZ6","No-take","npz6.22","59.3","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.22","L037 (05).MP4","1","51.56791","Carangidae","Seriola","hippos",NA,1,"-28.0687","113.4512","20210512","09:16","NPZ6","No-take","npz6.23","45","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.22","L037 (03).MP4","1","14.63935","Chaetodontidae","Chaetodon","assarius",NA,1,"-28.0687","113.4512","20210512","09:16","NPZ6","No-take","npz6.23","45","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.22","L037 (04).MP4","1","30.53968","Haemulidae","Diagramma","pictum",NA,3,"-28.0687","113.4512","20210512","09:16","NPZ6","No-take","npz6.23","45","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.22","L037 (03).MP4","1","13.97007","Labridae","Choerodon","rubescens",NA,1,"-28.0687","113.4512","20210512","09:16","NPZ6","No-take","npz6.23","45","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.22","L037 (05).MP4","1","47.16100","Labridae","Coris","auricularis",NA,130,"-28.0687","113.4512","20210512","09:16","NPZ6","No-take","npz6.23","45","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.22","L037 (03).MP4","1","4.71193","Labridae","Suezichthys","cyanolaemus",NA,1,"-28.0687","113.4512","20210512","09:16","NPZ6","No-take","npz6.23","45","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.22","L037 (05).MP4","1","54.60149","Lethrinidae","Lethrinus","miniatus",NA,3,"-28.0687","113.4512","20210512","09:16","NPZ6","No-take","npz6.23","45","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.22","L037 (03).MP4","1","13.54881","Mullidae","Parupeneus","spilurus",NA,1,"-28.0687","113.4512","20210512","09:16","NPZ6","No-take","npz6.23","45","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.22","L037 (04).MP4","1","17.69546","Urolophidae",NA,"spp",NA,1,"-28.0687","113.4512","20210512","09:16","NPZ6","No-take","npz6.23","45","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.24","L027 (03).MP4","1","3.79240","Carangidae","Seriola","hippos",NA,2,"-28.0787","113.4414","20210512","09:07","NPZ6","No-take","npz6.27","53.7","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.24","L027 (03).MP4","1","0.65009","Haemulidae","Diagramma","pictum",NA,1,"-28.0787","113.4414","20210512","09:07","NPZ6","No-take","npz6.27","53.7","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.24","L027 (04).MP4","1","41.96943","Labridae","Choerodon","rubescens",NA,1,"-28.0787","113.4414","20210512","09:07","NPZ6","No-take","npz6.27","53.7","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.24","L027 (04).MP4","1","40.20628","Labridae","Coris","auricularis",NA,67,"-28.0787","113.4414","20210512","09:07","NPZ6","No-take","npz6.27","53.7","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.24","L027 (05).MP4","1","50.21906","Labridae","Suezichthys","cyanolaemus",NA,1,"-28.0787","113.4414","20210512","09:07","NPZ6","No-take","npz6.27","53.7","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.24","L027 (03).MP4","1","15.14235","Lethrinidae","Lethrinus","miniatus",NA,6,"-28.0787","113.4414","20210512","09:07","NPZ6","No-take","npz6.27","53.7","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.24","L027 (03).MP4","1","0.32727","Mullidae","Parupeneus","spilurus",NA,1,"-28.0787","113.4414","20210512","09:07","NPZ6","No-take","npz6.27","53.7","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.24","L027 (03).MP4","1","1.29351","Pomacentridae","Chromis","spp",NA,55,"-28.0787","113.4414","20210512","09:07","NPZ6","No-take","npz6.27","53.7","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.26","L041 (02).MP4","1","3.21238","Acanthuridae","Acanthurus","grammoptilus",NA,4,"-28.0937","113.4563","20210512","08:43","NPZ6","No-take","npz6.29","33.7","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.26","L041 (02).MP4","1","6.52485","Acanthuridae","Acanthurus","olivaceus",NA,4,"-28.0937","113.4563","20210512","08:43","NPZ6","No-take","npz6.29","33.7","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.26","L041 (03).MP4","1","13.20847","Carangidae","Carangoides","fulvoguttatus",NA,1,"-28.0937","113.4563","20210512","08:43","NPZ6","No-take","npz6.29","33.7","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.26","L041 (04).MP4","1","37.46131","Carangidae",NA,"spp","other 2 OOR",1,"-28.0937","113.4563","20210512","08:43","NPZ6","No-take","npz6.29","33.7","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.26","L041 (02).MP4","1","2.88149","Chaetodontidae","Chaetodon","auriga",NA,2,"-28.0937","113.4563","20210512","08:43","NPZ6","No-take","npz6.29","33.7","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.26","L041 (03).MP4","1","22.13489","Chaetodontidae","Chaetodon","lunula",NA,2,"-28.0937","113.4563","20210512","08:43","NPZ6","No-take","npz6.29","33.7","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.26","L041 (02).MP4","1","1.02324","Labridae","Anampses","caeruleopunctatus",NA,1,"-28.0937","113.4563","20210512","08:43","NPZ6","No-take","npz6.29","33.7","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.26","L041 (02).MP4","1","0.65315","Labridae","Anampses","geographicus",NA,4,"-28.0937","113.4563","20210512","08:43","NPZ6","No-take","npz6.29","33.7","Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs","npz6.26","L041 (02).MP4","1","3.24630","Labridae","Bodianus","bilunulatus",NA,3,"-28.0937","113.4563","20210512","08:43","NPZ6","No-take","npz6.29","33.7","Molly","Yes","Yes"
