"sample","imageptpair","filenameleft","frameleft","filenameright","frameright","period","periodtime","length","precision","rms","range","direction","horzdir","vertdir","midx","midy","midz","family","genus","species","code","number","stage","activity","attribute9","attribute10","campaignid","x","y","z","sx","sy","sz","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length"
"npz6.10","11","L027 (10).MP4","9824","R028 (10).MP4","11530","1","17.25474",585.30928,"3.66792","3.60871","1619.39395","16.27630","31.03778","23.80874","-414.95871","183.85988","-1554.49078","Monacanthidae","Nelusetta","ayraud","37465006",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"-28.0787","113.3764","20210512","11:07","NPZ6","No-take","npz6.10","112","Molly","Yes","Yes"
"npz6.10","12","L027 (11).MP4","56309","R028 (11).MP4","58016","1","52.71989",424.6619,"6.00635","15.06026","2695.93282","17.70381","2.62286","5.17204","-808.48690","135.86493","-2568.25689","Tetraodontidae","Lagocephalus","sceleratus","37467007",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"-28.0787","113.3764","20210512","11:07","NPZ6","No-take","npz6.10","112","Molly","Yes","Yes"
"npz6.10","13","L027 (11).MP4","56345","R028 (11).MP4","58052","1","52.72990",591.70621,"27.87015","17.60424","3868.42491","19.68766","45.79202","2.80937","-1303.00091","-25.14520","-3642.28879","Tetraodontidae","Lagocephalus","sceleratus","37467007",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"-28.0787","113.3764","20210512","11:07","NPZ6","No-take","npz6.10","112","Molly","Yes","Yes"
"npz6.13","2","L039 (10).MP4","17974","R040 (10).MP4","19675","1","13.51350",66.67543,"1.51827","3.63134","1307.06397","19.57533","6.99563","9.70148","361.76069","-246.79707","-1231.51802","Cirrhitidae","Paracirrhites","forsteri","37374010",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"-28.0611","113.3714","20210512","11:19","NPZ6","No-take","npz6.13","109","Molly","Yes","Yes"
"npz6.13","3","L039 (11).MP4","12049","R040 (11).MP4","13750","1","34.40576",46.971,"1.64012","2.38073","1031.85512","7.74644","35.39343","28.18229","17.52588","-137.97442","-1022.43869","Apogonidae","Ostorhinchus","spp",NA,1,"AD","Passing",NA,NA,"2021-05_Abrolhos_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"-28.0611","113.3714","20210512","11:19","NPZ6","No-take","npz6.13","109","Molly","Yes","Yes"
"npz6.13","5","L039 (11).MP4","29116","R040 (11).MP4","30817","1","39.15133",62.00127,"6.66845","3.19830","2229.12660","30.80486","39.22155","20.34237","-1139.90548","-61.63805","-1914.63355","Chaetodontidae","Chaetodon","assarius","37365012",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"-28.0611","113.3714","20210512","11:19","NPZ6","No-take","npz6.13","109","Molly","Yes","Yes"
"npz6.13","6","L039 (11).MP4","57873","R040 (11).MP4","59574","1","47.14738",544.82221,"2.46962","4.09571","1240.31316","13.56502","34.05332","16.26686","288.02126","40.92161","-1205.71386","Sparidae","Chrysophrys","auratus","37353001",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"-28.0611","113.3714","20210512","11:19","NPZ6","No-take","npz6.13","109","Molly","Yes","Yes"
"npz6.13","7","L039 (11).MP4","58037","R040 (11).MP4","59738","1","47.19298",478.18797,"3.13445","5.10107","1802.04670","12.83615","14.46582","2.75751","392.93531","-76.69110","-1757.01241","Sparidae","Chrysophrys","auratus","37353001",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"-28.0611","113.3714","20210512","11:19","NPZ6","No-take","npz6.13","109","Molly","Yes","Yes"
"npz6.13","8","L039 (11).MP4","58058","R040 (11).MP4","59759","1","47.19882",426.01511,"6.82824","3.67404","2235.21474","24.45578","32.61665","18.03454","-862.94073","334.09824","-2034.67358","Sparidae","Chrysophrys","auratus","37353001",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"-28.0611","113.3714","20210512","11:19","NPZ6","No-take","npz6.13","109","Molly","Yes","Yes"
"npz6.13","9","L039 (11).MP4","58141","R040 (11).MP4","59842","1","47.22190",441.41138,"2.39938","4.35553","1830.18918","11.71882","3.24178","7.71058","362.76995","-81.11347","-1792.04102","Sparidae","Chrysophrys","auratus","37353001",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"-28.0611","113.3714","20210512","11:19","NPZ6","No-take","npz6.13","109","Molly","Yes","Yes"
"npz6.14","1","L029 (03).MP4","18930","R030 (03).MP4","18082","1","8.52046",481.74457,"4.89071","7.18869","2221.94949","18.21962","17.41276","3.19862","-462.70423","518.20251","-2110.55218","Lethrinidae","Lethrinus","miniatus","37351009",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"-28.0937","113.4213","20210512","08:56","NPZ6","No-take","npz6.14","42.1","Molly","Yes","Yes"
"npz6.14","2","L029 (03).MP4","18930","R030 (03).MP4","18082","1","8.52046",385.92729,"8.89946","8.39250","2236.86838","26.94659","48.30232","2.34773","-959.16810","327.87295","-1994.01004","Lethrinidae","Lethrinus","miniatus","37351009",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"-28.0937","113.4213","20210512","08:56","NPZ6","No-take","npz6.14","42.1","Molly","Yes","Yes"
"npz6.14","3","L029 (03).MP4","19001","R030 (03).MP4","18153","1","8.54020",322.35062,"4.23105","2.40542","1595.86071","25.44222","40.49465","11.82140","-679.26988","92.82457","-1441.09245","Lethrinidae","Lethrinus","miniatus","37351009",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"-28.0937","113.4213","20210512","08:56","NPZ6","No-take","npz6.14","42.1","Molly","Yes","Yes"
"npz6.14","4","L029 (03).MP4","19130","R030 (03).MP4","18282","1","8.57607",395.60811,"1.08710","5.92740","1243.95501","5.21655","4.86903","34.98973","112.27459","13.64543","-1238.80276","Lethrinidae","Lethrinus","miniatus","37351009",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"-28.0937","113.4213","20210512","08:56","NPZ6","No-take","npz6.14","42.1","Molly","Yes","Yes"
"npz6.14","5","L029 (03).MP4","20077","R030 (03).MP4","19229","1","8.83939",523.25876,"3.50314","5.35473","1279.71016","17.87670","47.44540","4.44467","384.04274","82.63319","-1217.92488","Lethrinidae","Lethrinus","miniatus","37351009",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"-28.0937","113.4213","20210512","08:56","NPZ6","No-take","npz6.14","42.1","Molly","Yes","Yes"
"npz6.14","6","L029 (03).MP4","40636","R030 (03).MP4","39788","1","14.55593",425.19382,"3.54244","9.38287","1719.36352","23.81705","25.29939","30.61050","680.69110","136.83848","-1572.94175","Labridae","Choerodon","rubescens","37384039",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"-28.0937","113.4213","20210512","08:56","NPZ6","No-take","npz6.14","42.1","Molly","Yes","Yes"
"npz6.14","7","L029 (03).MP4","40775","R030 (03).MP4","39927","1","14.59458",270.85874,"2.85763","8.39504","2035.52127","18.06117","1.27271","48.68275","453.10814","439.26239","-1935.22309","Labridae","Choerodon","rubescens","37384039",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"-28.0937","113.4213","20210512","08:56","NPZ6","No-take","npz6.14","42.1","Molly","Yes","Yes"
"npz6.14","8","L029 (03).MP4","42258","R030 (03).MP4","41410","1","15.00694",542.53282,"4.33327","13.18675","3130.68968","20.54905","2.40679","0.11334","-377.39320","1032.06422","-2931.49035","Carangidae","Seriola","hippos","37337007",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"-28.0937","113.4213","20210512","08:56","NPZ6","No-take","npz6.14","42.1","Molly","Yes","Yes"
"npz6.14","9","L029 (03).MP4","70287","R030 (03).MP4","69439","1","22.80056",602.06538,"29.79250","18.06522","4991.72879","23.77068","21.46497","10.13118","-1886.60031","699.34818","-4568.26091","Lethrinidae","Lethrinus","nebulosus","37351008",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"-28.0937","113.4213","20210512","08:56","NPZ6","No-take","npz6.14","42.1","Molly","Yes","Yes"
"npz6.15","1","L043 (11).MP4","42241","R044 (11).MP4","43492","1","31.13777",728.54002,"4.86512","4.55860","1663.20264","8.03841","79.19328","55.15089","232.41347","-8.72270","-1646.86093","Triakidae","Mustelus","spp",NA,1,"AD","Passing",NA,NA,"2021-05_Abrolhos_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"-28.0588","113.3488","20210512","11:41","NPZ6","No-take","npz6.15","145","Molly","Yes","Yes"
"npz6.17","2","L031 (08).MP4","51683","R032 (08).MP4","53206","1","6.35524",506.94219,"2.63959","4.25793","1525.90284","16.74897","17.80850","19.43396","-439.32429","-18.95807","-1461.16879","Monacanthidae","Nelusetta","ayraud","37465006",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"-28.0837","113.3839","20210512","11:03","NPZ6","No-take","npz6.18","94","Molly","Yes","Yes"
"npz6.17","3","L031 (08).MP4","78311","R032 (08).MP4","79834","1","13.75930",510.44865,"1.28375","5.04323","1166.98323","16.01503","9.00729","15.15397","-163.77594","-277.19068","-1121.69186","Sparidae","Chrysophrys","auratus","37353001",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"-28.0837","113.3839","20210512","11:03","NPZ6","No-take","npz6.18","94","Molly","Yes","Yes"
"npz6.17","4","L031 (08).MP4","78451","R032 (08).MP4","79974","1","13.79823",436.31224,"1.99915","7.28392","1714.39460","4.18312","9.48548","23.13896","108.16347","-62.76561","-1709.82747","Sparidae","Chrysophrys","auratus","37353001",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"-28.0837","113.3839","20210512","11:03","NPZ6","No-take","npz6.18","94","Molly","Yes","Yes"
"npz6.17","5","L031 (08).MP4","78621","R032 (08).MP4","80144","1","13.84550",366.13704,"2.52977","9.80990","1516.51434","14.69212","19.89283","24.65765","379.28668","63.86367","-1466.92836","Sparidae","Chrysophrys","auratus","37353001",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"-28.0837","113.3839","20210512","11:03","NPZ6","No-take","npz6.18","94","Molly","Yes","Yes"
"npz6.17","6","L031 (09).MP4","16686","R032 (09).MP4","18209","1","19.16359",55.96015,"4.31694","1.87418","1898.09806","34.60200","24.29860","7.51850","-964.36811","-481.47124","-1562.35587","Cirrhitidae","Paracirrhites","forsteri","37374010",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"-28.0837","113.3839","20210512","11:03","NPZ6","No-take","npz6.18","94","Molly","Yes","Yes"
"npz6.17","7","L031 (09).MP4","34033","R032 (09).MP4","35556","1","23.98702",648.13341,"2.40449","8.35730","1605.17073","5.76377","12.33818","6.55071","-160.93362","9.31199","-1597.05564","Carangidae","Seriola","hippos","37337007",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"-28.0837","113.3839","20210512","11:03","NPZ6","No-take","npz6.18","94","Molly","Yes","Yes"
"npz6.17","10","L031 (09).MP4","74178","R032 (09).MP4","75701","1","35.14956",67.54532,"3.57797","6.39576","1651.83203","19.12908","27.05368","4.47515","-315.90286","-439.55927","-1560.62234","Apogonidae","Ostorhinchus","spp",NA,1,"AD","Passing",NA,NA,"2021-05_Abrolhos_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"-28.0837","113.3839","20210512","11:03","NPZ6","No-take","npz6.18","94","Molly","Yes","Yes"
"npz6.17","12","L031 (10).MP4","29944","R032 (10).MP4","31468","1","45.38979",249.53032,"2.08276","4.46341","1504.06531","5.85331","17.32295","27.10250","-121.76809","-93.27533","-1496.22348","Labridae","Bodianus","solatus","37384201",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"-28.0837","113.3839","20210512","11:03","NPZ6","No-take","npz6.18","94","Molly","Yes","Yes"
"npz6.17","13","L031 (10).MP4","31928","R032 (10).MP4","33452","1","45.94145",255.92833,"10.75699","15.22347","2447.48138","9.85118","39.38392","4.01460","310.20752","281.27097","-2411.39442","Labridae","Bodianus","vulpinus","37384001",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"-28.0837","113.3839","20210512","11:03","NPZ6","No-take","npz6.18","94","Molly","Yes","Yes"
"npz6.17","14","L031 (10).MP4","37143","R032 (10).MP4","38667","1","47.39151",264.59397,"21.17350","11.29442","4102.58675","30.15232","19.70996","2.55053","-2035.41021","322.05435","-3547.47858","Labridae","Coris","auricularis","37384088",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"-28.0837","113.3839","20210512","11:03","NPZ6","No-take","npz6.18","94","Molly","Yes","Yes"
"npz6.17","15","L031 (10).MP4","37170","R032 (10).MP4","38694","1","47.39902",198.63308,"11.53814","17.95610","3631.43901","26.39207","12.25032","41.90528","-1591.34125","270.78392","-3252.94610","Labridae","Coris","auricularis","37384088",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"-28.0837","113.3839","20210512","11:03","NPZ6","No-take","npz6.18","94","Molly","Yes","Yes"
"npz6.17","17","L031 (10).MP4","73781","R032 (10).MP4","75305","1","57.57891",128.42168,"3.73620","13.57675","2102.62684","10.66452","13.75959","5.13982","337.63110","-193.41753","-2066.30939","Nemipteridae","Pentapodus","nagasakiensis","37347012",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"-28.0837","113.3839","20210512","11:03","NPZ6","No-take","npz6.18","94","Molly","Yes","Yes"
"npz6.17","18","L031 (10).MP4","73823","R032 (10).MP4","75347","1","57.59059",103.24223,"3.04093","15.57938","2096.41171","14.80592","6.17891","32.59135","533.99401","43.07783","-2026.80457","Nemipteridae","Pentapodus","nagasakiensis","37347012",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"-28.0837","113.3839","20210512","11:03","NPZ6","No-take","npz6.18","94","Molly","Yes","Yes"
"npz6.17","20","L031 (10).MP4","75801","R032 (10).MP4","77325","1","58.14058",78.11565,"6.27551","17.36536","2456.53390","7.65752","20.06300","3.53651","273.87353","-179.28364","-2434.62717","Chaetodontidae","Chaetodon","assarius","37365012",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"-28.0837","113.3839","20210512","11:03","NPZ6","No-take","npz6.18","94","Molly","Yes","Yes"
"npz6.17","21","L031 (10).MP4","76004","R032 (10).MP4","77528","1","58.19703",100.33647,"4.06690","14.42637","2377.77066","5.39034","13.24586","5.99831","105.13592","-197.07890","-2367.25572","Chaetodontidae","Chaetodon","assarius","37365012",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"-28.0837","113.3839","20210512","11:03","NPZ6","No-take","npz6.18","94","Molly","Yes","Yes"
"npz6.17","22","L031 (10).MP4","76004","R032 (10).MP4","77528","1","58.19703",95.43919,"3.13718","16.34546","2624.12520","8.07075","6.40280","1.56036","193.15079","-313.72459","-2598.13447","Chaetodontidae","Chaetodon","assarius","37365012",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"-28.0837","113.3839","20210512","11:03","NPZ6","No-take","npz6.18","94","Molly","Yes","Yes"
"npz6.18","1","L035 (04).MP4","2794","R036 (02).MP4","69848","1","11.01156",43.29993,"2.48654","6.52612","1619.82053","17.55138","12.56158","5.45140","-426.02191","-238.98283","-1544.41286","Tetraodontidae",NA,"spp",NA,1,"AD","Passing",NA,NA,"2021-05_Abrolhos_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"-28.0962","113.4438","20210512","08:48","NPZ6","No-take","npz6.19","42.7","Molly","Yes","Yes"
"npz6.18","2","L035 (04).MP4","14507","R036 (03).MP4","439","1","14.26842",666.26856,"3.80454","5.74357","1968.37392","22.74141","3.27322","10.28383","734.06520","-200.36684","-1815.35047","Haemulidae","Diagramma","pictum","37350003",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"-28.0962","113.4438","20210512","08:48","NPZ6","No-take","npz6.19","42.7","Molly","Yes","Yes"
"npz6.18","3","L035 (04).MP4","14549","R036 (03).MP4","481","1","14.28010",629.01199,"4.96338","5.96381","2239.08921","24.95719","0.82752","4.69181","915.20862","-234.45964","-2030.01043","Haemulidae","Diagramma","pictum","37350003",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"-28.0962","113.4438","20210512","08:48","NPZ6","No-take","npz6.19","42.7","Molly","Yes","Yes"
"npz6.18","4","L035 (04).MP4","14690","R036 (03).MP4","622","1","14.31930",551.74505,"2.81587","5.34873","1827.17865","16.62615","2.46644","3.74929","472.93702","-222.83067","-1750.78808","Haemulidae","Diagramma","pictum","37350003",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"-28.0962","113.4438","20210512","08:48","NPZ6","No-take","npz6.19","42.7","Molly","Yes","Yes"
"npz6.18","5","L035 (04).MP4","14727","R036 (03).MP4","659","1","14.32959",632.83368,"4.68813","14.10258","2004.40577","4.02338","22.02644","1.95137","41.09620","-134.49780","-1999.46591","Haemulidae","Diagramma","pictum","37350003",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"-28.0962","113.4438","20210512","08:48","NPZ6","No-take","npz6.19","42.7","Molly","Yes","Yes"
"npz6.18","6","L035 (04).MP4","14760","R036 (03).MP4","692","1","14.33877",676.62326,"5.09092","7.24814","2390.70945","15.06285","11.01038","0.38280","589.64035","195.78190","-2308.56782","Haemulidae","Diagramma","pictum","37350003",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"-28.0962","113.4438","20210512","08:48","NPZ6","No-take","npz6.19","42.7","Molly","Yes","Yes"
"npz6.18","7","L035 (04).MP4","14760","R036 (03).MP4","692","1","14.33877",689.92638,"4.90462","8.30338","2311.57097","16.95508","6.63463","0.23365","673.81942","-19.61374","-2211.09544","Haemulidae","Diagramma","pictum","37350003",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"-28.0962","113.4438","20210512","08:48","NPZ6","No-take","npz6.19","42.7","Molly","Yes","Yes"
"npz6.18","8","L035 (04).MP4","14849","R036 (03).MP4","781","1","14.36352",609.31968,"5.49620","8.10058","1774.07899","10.50280","37.57394","10.49330","-223.78475","-233.44911","-1744.35608","Haemulidae","Diagramma","pictum","37350003",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"-28.0962","113.4438","20210512","08:48","NPZ6","No-take","npz6.19","42.7","Molly","Yes","Yes"
"npz6.18","9","L035 (04).MP4","14914","R036 (03).MP4","846","1","14.38159",639.36275,"8.70975","6.11598","2916.51496","26.02771","3.68643","0.37999","1263.65454","-202.54138","-2620.72771","Haemulidae","Diagramma","pictum","37350003",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"-28.0962","113.4438","20210512","08:48","NPZ6","No-take","npz6.19","42.7","Molly","Yes","Yes"
"npz6.18","10","L035 (04).MP4","14932","R036 (03).MP4","864","1","14.38659",666.49832,"6.80525","9.64385","2181.61159","14.07577","28.17051","3.52459","485.27965","-214.51618","-2116.10860","Haemulidae","Diagramma","pictum","37350003",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"-28.0962","113.4438","20210512","08:48","NPZ6","No-take","npz6.19","42.7","Molly","Yes","Yes"
"npz6.2","1","L033 (03).MP4","49343","R034 (03).MP4","47807","1","3.06250",358.3793,"7.87292","1.29293","2027.70873","27.69208","65.53703","16.42522","-938.95344","-79.53733","-1795.45063","Labridae","Choerodon","rubescens","37384039",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"-28.0612","113.4339","20210512","09:26","NPZ6","No-take","npz6.2","43.6","Molly","Yes","Yes"
"npz6.2","2","L033 (04).MP4","40252","R034 (04).MP4","38716","1","23.07416",691.3613,"13.27660","0.54158","3092.39736","9.49095","29.54073","0.32934","235.90501","452.05976","-3050.06758","Scombridae","Scomberomorus","spp",NA,1,"AD","Passing",NA,NA,"2021-05_Abrolhos_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"-28.0612","113.4339","20210512","09:26","NPZ6","No-take","npz6.2","43.6","Molly","Yes","Yes"
"npz6.2","3","L033 (04).MP4","40452","R034 (04).MP4","38916","1","23.12977",292.49548,"5.05237","1.22043","1899.11130","27.07341","31.10643","5.34054","-820.39448","-272.11477","-1691.01454","Lethrinidae","Lethrinus","miniatus","37351009",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"-28.0612","113.4339","20210512","09:26","NPZ6","No-take","npz6.2","43.6","Molly","Yes","Yes"
"npz6.2","4","L033 (04).MP4","40791","R034 (04).MP4","39255","1","23.22403",327.38365,"4.47980","3.58722","1946.83829","25.88592","19.24017","5.74203","-805.79024","-270.40845","-1751.50241","Lethrinidae","Lethrinus","miniatus","37351009",1,"AD","Passing",NA,NA,"2021-05_Abrolhos_stereo-BRUVs",NA,NA,NA,NA,NA,NA,"-28.0612","113.4339","20210512","09:26","NPZ6","No-take","npz6.2","43.6","Molly","Yes","Yes"
