"sample","family","genus","species","length","range","number","mass.g","length.cm","campaignid","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length","id"
"npz6.10","Mullidae","Parupeneus","chrysopleuron",NA,NA,0,NA,NA,"2021-05_Abrolhos_stereo-BRUVs",-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes","2021-05_Abrolhos_stereo-BRUVs.npz6.10"
"npz6.10","Mullidae","Parupeneus","spilurus",NA,NA,0,NA,NA,"2021-05_Abrolhos_stereo-BRUVs",-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes","2021-05_Abrolhos_stereo-BRUVs.npz6.10"
"npz6.10","Muraenidae","Gymnothorax","nudivomer",NA,NA,0,NA,NA,"2021-05_Abrolhos_stereo-BRUVs",-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes","2021-05_Abrolhos_stereo-BRUVs.npz6.10"
"npz6.10","Muraenidae","Gymnothorax","woodwardi",NA,NA,0,NA,NA,"2021-05_Abrolhos_stereo-BRUVs",-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes","2021-05_Abrolhos_stereo-BRUVs.npz6.10"
"npz6.10","Orectolobidae","Orectolobus","hutchinsi",NA,NA,0,NA,NA,"2021-05_Abrolhos_stereo-BRUVs",-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes","2021-05_Abrolhos_stereo-BRUVs.npz6.10"
"npz6.10","Ostraciidae","Tetrosomus","reipublicae",NA,NA,0,NA,NA,"2021-05_Abrolhos_stereo-BRUVs",-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes","2021-05_Abrolhos_stereo-BRUVs.npz6.10"
"npz6.10","Pinguipedidae","Parapercis","haackei",NA,NA,0,NA,NA,"2021-05_Abrolhos_stereo-BRUVs",-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes","2021-05_Abrolhos_stereo-BRUVs.npz6.10"
"npz6.10","Pinguipedidae","Parapercis","nebulosa",68.57177,1004.17382,1,2.61813543453921,6.857177,"2021-05_Abrolhos_stereo-BRUVs",-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes","2021-05_Abrolhos_stereo-BRUVs.npz6.10"
"npz6.10","Pomacanthidae","Chaetodontoplus","personifer",NA,NA,0,NA,NA,"2021-05_Abrolhos_stereo-BRUVs",-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes","2021-05_Abrolhos_stereo-BRUVs.npz6.10"
"npz6.10","Pomacanthidae","Pomacanthus","semicirculatus",NA,NA,0,NA,NA,"2021-05_Abrolhos_stereo-BRUVs",-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes","2021-05_Abrolhos_stereo-BRUVs.npz6.10"
