"id","campaignid","sample","family","genus","species","length","range","latitude","longitude","date","time","location","status","site","depth","observer","successful.count","successful.length"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Sparidae","Chrysophrys","auratus",292.07022,1382.25058,-28.0798,113.3498,20210513,14:17:39,"NPZ6","No-take","npz6.10",151,"Claude","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Sparidae","Chrysophrys","auratus",292.07022,1382.25058,-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Tetraodontidae","Lagocephalus","sceleratus",424.6619,2695.93282,-28.0798,113.3498,20210513,14:17:39,"NPZ6","No-take","npz6.10",151,"Claude","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Tetraodontidae","Lagocephalus","sceleratus",424.6619,2695.93282,-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Tetraodontidae","Lagocephalus","sceleratus",424.6619,2695.93282,-28.0798,113.3498,20210513,14:17:39,"NPZ6","No-take","npz6.10",151,"Claude","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Tetraodontidae","Lagocephalus","sceleratus",424.6619,2695.93282,-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Tetraodontidae","Lagocephalus","sceleratus",591.70621,3868.42491,-28.0798,113.3498,20210513,14:17:39,"NPZ6","No-take","npz6.10",151,"Claude","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Tetraodontidae","Lagocephalus","sceleratus",591.70621,3868.42491,-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Tetraodontidae","Lagocephalus","sceleratus",591.70621,3868.42491,-28.0798,113.3498,20210513,14:17:39,"NPZ6","No-take","npz6.10",151,"Claude","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.10","2021-05_Abrolhos_stereo-BRUVs","npz6.10","Tetraodontidae","Lagocephalus","sceleratus",591.70621,3868.42491,-28.0787,113.3764,20210512,11:07:00,"NPZ6","No-take","npz6.10",112,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs.npz6.13","2021-05_Abrolhos_stereo-BRUVs","npz6.13","Apogonidae","Ostorhinchus","spp",46.971,1031.85512,-28.0537,113.4489,20210511,12:50:37,"NPZ6","No-take","npz6.13",57,"Claude","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.13","2021-05_Abrolhos_stereo-BRUVs","npz6.13","Apogonidae","Ostorhinchus","spp",46.971,1031.85512,-28.0611,113.3714,20210512,11:19:00,"NPZ6","No-take","npz6.13",109,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs.npz6.13","2021-05_Abrolhos_stereo-BRUVs","npz6.13","Apogonidae","Ostorhinchus","spp",46.971,1031.85512,-28.0537,113.4489,20210511,12:50:37,"NPZ6","No-take","npz6.13",57,"Claude","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.13","2021-05_Abrolhos_stereo-BRUVs","npz6.13","Apogonidae","Ostorhinchus","spp",46.971,1031.85512,-28.0611,113.3714,20210512,11:19:00,"NPZ6","No-take","npz6.13",109,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs.npz6.13","2021-05_Abrolhos_stereo-BRUVs","npz6.13","Chaetodontidae","Chaetodon","assarius",62.00127,2229.1266,-28.0537,113.4489,20210511,12:50:37,"NPZ6","No-take","npz6.13",57,"Claude","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.13","2021-05_Abrolhos_stereo-BRUVs","npz6.13","Chaetodontidae","Chaetodon","assarius",62.00127,2229.1266,-28.0611,113.3714,20210512,11:19:00,"NPZ6","No-take","npz6.13",109,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs.npz6.13","2021-05_Abrolhos_stereo-BRUVs","npz6.13","Chaetodontidae","Chaetodon","assarius",62.00127,2229.1266,-28.0537,113.4489,20210511,12:50:37,"NPZ6","No-take","npz6.13",57,"Claude","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.13","2021-05_Abrolhos_stereo-BRUVs","npz6.13","Chaetodontidae","Chaetodon","assarius",62.00127,2229.1266,-28.0611,113.3714,20210512,11:19:00,"NPZ6","No-take","npz6.13",109,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs.npz6.13","2021-05_Abrolhos_stereo-BRUVs","npz6.13","Cirrhitidae","Paracirrhites","forsteri",66.67543,1307.06397,-28.0537,113.4489,20210511,12:50:37,"NPZ6","No-take","npz6.13",57,"Claude","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.13","2021-05_Abrolhos_stereo-BRUVs","npz6.13","Cirrhitidae","Paracirrhites","forsteri",66.67543,1307.06397,-28.0611,113.3714,20210512,11:19:00,"NPZ6","No-take","npz6.13",109,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs.npz6.13","2021-05_Abrolhos_stereo-BRUVs","npz6.13","Cirrhitidae","Paracirrhites","forsteri",66.67543,1307.06397,-28.0537,113.4489,20210511,12:50:37,"NPZ6","No-take","npz6.13",57,"Claude","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.13","2021-05_Abrolhos_stereo-BRUVs","npz6.13","Cirrhitidae","Paracirrhites","forsteri",66.67543,1307.06397,-28.0611,113.3714,20210512,11:19:00,"NPZ6","No-take","npz6.13",109,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs.npz6.13","2021-05_Abrolhos_stereo-BRUVs","npz6.13","Sparidae","Chrysophrys","auratus",544.82221,1240.31316,-28.0537,113.4489,20210511,12:50:37,"NPZ6","No-take","npz6.13",57,"Claude","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.13","2021-05_Abrolhos_stereo-BRUVs","npz6.13","Sparidae","Chrysophrys","auratus",544.82221,1240.31316,-28.0611,113.3714,20210512,11:19:00,"NPZ6","No-take","npz6.13",109,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs.npz6.13","2021-05_Abrolhos_stereo-BRUVs","npz6.13","Sparidae","Chrysophrys","auratus",544.82221,1240.31316,-28.0537,113.4489,20210511,12:50:37,"NPZ6","No-take","npz6.13",57,"Claude","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.13","2021-05_Abrolhos_stereo-BRUVs","npz6.13","Sparidae","Chrysophrys","auratus",544.82221,1240.31316,-28.0611,113.3714,20210512,11:19:00,"NPZ6","No-take","npz6.13",109,"Molly","Yes","Yes"
"2021-05_Abrolhos_stereo-BRUVs.npz6.13","2021-05_Abrolhos_stereo-BRUVs","npz6.13","Sparidae","Chrysophrys","auratus",478.18797,1802.0467,-28.0537,113.4489,20210511,12:50:37,"NPZ6","No-take","npz6.13",57,"Claude","Y","Y"
"2021-05_Abrolhos_stereo-BRUVs.npz6.13","2021-05_Abrolhos_stereo-BRUVs","npz6.13","Sparidae","Chrysophrys","auratus",478.18797,1802.0467,-28.0611,113.3714,20210512,11:19:00,"NPZ6","No-take","npz6.13",109,"Molly","Yes","Yes"
