OpCode	ImagePtPair	FilenameLeft	FrameLeft	FilenameRight	FrameRight	Time	Period	PeriodTime	X	Y	Z	sX	sY	sZ	RMS	Range	Direction	Family	Genus	Species	Code	Number	Stage	Activity	Comment	Attribute9	Attribute10
npz6.24	5	L027 (03).MP4	12561	R028 (03).MP4	11417	48.58882	1	1.29351	1057.92344	438.11070	-2500.91678	4.99777	2.32833	11.88893	44.35391	2750.58680	24.71297	Pomacentridae	Chromis	spp		30	AD	Passing			
npz6.24	39	L027 (04).MP4	71446	R028 (04).MP4	70302	87.50158	1	40.20628	24.08540	-130.53762	-1786.42411	0.88069	0.99644	6.29603	41.85435	1791.34901	3.96512	Labridae	Coris	auricularis	37384088	35	AD	Passing			
npz6.26	0	L041 (01).MP4	10106	R042 (01).MP4	7511	2.81003		-1.00000	-11.07511	118.98841	-1513.91218	0.74557	0.82818	4.58452	6.46492	1518.62141	4.22103								sync		
npz6.26	7	L041 (03).MP4	9777	R042 (03).MP4	7182	47.81471	1	11.77927	52.99245	638.28449	-3633.81720	1.79522	4.98229	25.92674	16.00234	3689.82964	9.70339	Labridae	Choerodon	rubescens	37384039	1	AD	Passing	length error for some reason		
npz6.26	13	L041 (03).MP4	32206	R042 (03).MP4	29611	54.05122	1	18.01578	-1716.69345	396.07674	-6748.35875	22.61533	6.54795	89.23506	42.47672	6974.54365	14.56834	Lethrinidae	Lethrinus	miniatus	37351009	1	AD	Passing			
npz6.26	21	L041 (04).MP4	21061	R042 (04).MP4	18466	73.49175	1	37.45631	-3136.25076	1041.35243	-6811.43710	39.66387	14.11055	87.48515	4.20359	7570.74363	25.78952	Carangidae		spp		1	AD	Passing			
npz6.27	0	L043 (02).MP4	80616	R044 (02).MP4	79837	44.95547		-1.00000	-36.23883	173.84744	-1181.81370	0.59596	0.71957	2.93211	3.23931	1195.08151	8.47617								sync		
npz6.27	7	L043 (04).MP4	32772	R044 (04).MP4	31993	76.74778	1	22.95015	-668.44197	-122.17909	-1179.90100	1.57460	0.64155	2.79623	40.97903	1361.58318	29.95088	Haemulidae	Diagramma	pictum	37350003	1	AD	Passing			
npz6.27	8	L043 (04).MP4	44898	R044 (04).MP4	44119	80.11948	1	26.32185	119.66252	-95.92222	-1651.36471	0.89660	0.86421	5.63282	5.11357	1658.47086	5.35050	Lethrinidae	Lethrinus	nebulosus	37351008	1	AD	Passing			
npz6.27	9	L043 (04).MP4	44898	R044 (04).MP4	44119	80.11948	1	26.32185	1047.17778	-31.07480	-2283.61841	4.51725	1.09206	10.15859	16.10873	2512.46094	24.64609	Lethrinidae	Lethrinus	nebulosus	37351008	1	AD	Passing			
npz6.28	0	L037 (14).MP4	1873	R038 (14).MP4	2321	0.52080		-1.00000	-32.69706	55.68242	-960.52714	0.48541	0.48734	1.87943	13.28278	962.69518	3.48188								sync		
npz6.36	0	L027 (18).MP4	51314	R028 (18).MP4	50823	14.26814		-1.00000	33.51080	-15.54636	-1755.32417	0.87088	0.85924	6.10645	3.20549	1755.71284	1.12511								sync		
npz6.36	4	L027 (21).MP4	13198	R028 (21).MP4	12707	71.28844	1	18.55270	327.02586	-26.34380	-836.39016	0.65761	0.41183	1.35425	0.22320	898.43664	21.40004	Lethrinidae	Lethrinus	nebulosus	37351008	1	AD	Passing			
npz6.36	7	L027 (21).MP4	16193	R028 (21).MP4	15702	72.12122	1	19.38548	-232.08870	803.32582	-3025.31706	1.98520	4.87788	17.95744	3.74953	3138.74829	15.68431	Labridae	Choerodon	rubescens	37384039	1	AD	Passing			
npz6.36	10	L027 (22).MP4	225	R028 (21).MP4	80796	90.22096	1	37.48523	-710.80109	325.61728	-1547.37093	2.14772	1.20183	4.60284	135.16904	1733.67286	26.90807	Sparidae	Chrysophrys	auratus	37353001	1	AD	Passing			
npz6.36	11	L027 (22).MP4	225	R028 (21).MP4	80796	90.22096	1	37.48523	109.73552	-340.30589	-1178.01678	0.63701	0.98962	2.77762	8.43418	1231.08632	16.65319	Sparidae	Chrysophrys	auratus	37353001	1	AD	Passing			
npz6.36	12	L027 (22).MP4	225	R028 (21).MP4	80796	90.22096	1	37.48523	-337.59915	-151.26295	-907.58545	0.72143	0.52361	1.62449	4.88181	980.08419	22.07772	Sparidae	Chrysophrys	auratus	37353001	1	AD	Passing			
npz6.4	0	L029 (06).MP4	4151	R030 (06).MP4	5815	1.15421		-1.00000	28.43491	124.47197	-1048.50697	0.52478	0.58731	2.29086	8.12262	1056.25218	6.46530								sync		
npz6.4	4	L029 (08).MP4	65222	R030 (08).MP4	67006	63.18117	1	5.85613	-843.86326	-303.75891	-1834.82053	3.02394	1.35231	6.64410	10.11076	2042.28819	26.21962	Nemipteridae	Pentapodus	nagasakiensis	37347012	1	AD	Passing			
npz6.4	5	L029 (08).MP4	65222	R030 (08).MP4	67006	63.18117	1	5.85613	-1014.25269	-334.82573	-2034.40436	3.91330	1.56736	8.02543	17.67990	2297.74191	27.85753	Nemipteridae	Pentapodus	nagasakiensis	37347012	1	AD	Passing			
npz6.4	17	L029 (09).MP4	64699	R030 (09).MP4	66483	85.57549	1	28.25044	-953.37371	-246.28510	-1714.23970	3.02160	1.09767	5.56145	16.41329	1976.91567	29.99953	Labridae	Choerodon	rubescens	37384039	1	AD	Passing			
npz6.4	18	L029 (09).MP4	64699	R030 (09).MP4	66483	85.57549	1	28.25044	-945.50491	-91.85950	-2425.89201	4.56232	1.21901	11.79445	13.19003	2605.25810	21.43761	Labridae	Choerodon	rubescens	37384039	1	AD	Passing			
npz6.4	19	L029 (09).MP4	64894	R030 (09).MP4	66678	85.62971	1	28.30467	-907.60756	-199.69371	-1730.48149	2.97411	1.02453	5.77349	4.07796	1964.22892	28.34621	Labridae	Choerodon	rubescens	37384039	1	AD	Passing			
npz6.4	26	L029 (09).MP4	80028	R030 (10).MP4	751	89.83780	1	32.51276	-359.68160	4.84848	-1336.51830	1.13755	0.65170	3.67700	16.65435	1384.07930	15.06498	Sparidae	Chrysophrys	auratus	37353001	1	AD	Passing			
